id,name,lat,lon
116620039900040,,39.90144848,116.6166918
116620039905040,,39.90644826,116.6166912
116625039895040,,39.89644326,116.621684
116625039900040,,39.90144304,116.6216834
116625039905040,,39.90644281,116.6216827
116625039915040,,39.91644238,116.6216815
116630039865040,,39.86643849,116.626678
116630039870040,,39.87143823,116.6266774
116630039885040,,39.88643748,116.6266756
116630039890040,,39.89143724,116.626675
116630039900040,,39.90143679,116.6266738
116630039905040,,39.90643657,116.6266732
116630039920040,,39.92143593,116.6266713
116635039880040,,39.88143075,116.6316657
116635039885040,,39.88643051,116.6316651
116635039890040,,39.89143027,116.6316644
116635039895040,,39.89643004,116.6316638
116635039905040,,39.90642959,116.6316626
116640039870040,,39.87142363,116.6366554
116640039875040,,39.87642337,116.6366548
116640039880040,,39.88142312,116.6366542
116640039885040,,39.88642288,116.6366536
116640039890040,,39.89142265,116.636653
116640039895040,,39.89642241,116.6366524
116640039905040,,39.90642197,116.6366512
116645039885040,,39.8864147,116.6416414
116645039890040,,39.89141446,116.6416408
116645039895040,,39.89641423,116.6416402
116645039900040,,39.901414,116.6416396
116645039905040,,39.90641378,116.641639
116645039910040,,39.91141357,116.6416384
116645039920040,,39.92141314,116.6416371
116650039875040,,39.87640653,116.6466298
116650039880040,,39.88140629,116.6466292
116650039890040,,39.89140581,116.646628
116650039920040,,39.92140449,116.6466243
116655039875040,,39.8763975,116.6516164
116655039880040,,39.88139725,116.6516158
116655039885040,,39.88639701,116.6516152
116655039890040,,39.89139677,116.6516146
116655039895040,,39.89639654,116.651614
116655039910040,,39.91139588,116.6516121
116655039915040,,39.91639566,116.6516115
116655039925040,,39.92639525,116.6516103
116660039860040,,39.86138897,116.6566045
116660039880040,,39.88138794,116.656602
116660039890040,,39.89138746,116.6566008
116660039900040,,39.901387,116.6565996
116660039905040,,39.90638678,116.656599
116665039880040,,39.88137843,116.661588
116665039885040,,39.88637819,116.6615874
116670039865040,,39.86636962,116.6665756
116670039875040,,39.8763691,116.6665744
116670039885040,,39.8863686,116.6665732
116670039890040,,39.89136837,116.6665726
116670039895040,,39.89636814,116.666572
116670039900040,,39.90136791,116.6665713
116675039875040,,39.87635952,116.6715602
116675039880040,,39.88135927,116.6715596
116675039920040,,39.92135747,116.6715546
116675039935040,,39.93635686,116.6715528
116680039855040,,39.85635112,116.6765486
116680039870040,,39.87135031,116.6765467
116680039885040,,39.88634956,116.6765449
116680039890040,,39.89134933,116.6765442
116680039895040,,39.8963491,116.6765436
116680039905040,,39.90634865,116.6765424
116680039925040,,39.9263478,116.6765399
116685039865040,,39.86634132,116.6815335
116685039875040,,39.8763408,116.6815322
116685039880040,,39.88134055,116.6815316
116685039910040,,39.91133917,116.6815279
116685039920040,,39.92133875,116.6815266
116690039860040,,39.86133262,116.6865206
116690039870040,,39.87133209,116.6865193
116690039895040,,39.89633088,116.6865162
116690039915040,,39.91633,116.6865137
116690039930040,,39.93132938,116.6865119
116690039935040,,39.93632917,116.6865112
116690039940040,,39.94132897,116.6865106
116695039840040,,39.84132522,116.69151
116695039845040,,39.84632491,116.6915094
116695039870040,,39.87132352,116.6915063
116695039875040,,39.87632326,116.6915056
116695039910040,,39.91132164,116.6915013
116700039845040,,39.84631681,116.6964969
116700039865040,,39.86631568,116.6964944
116700039870040,,39.87131542,116.6964938
116705039865040,,39.86630813,116.7014826
116710039840040,,39.84130265,116.7064747
116710039880040,,39.88130045,116.7064698
116720039850040,,39.85129036,116.7164542
116725039850040,,39.8512857,116.721446
116725039855040,,39.85628541,116.7214454
116735039930040,,39.93127516,116.7314229
116740039855040,,39.8562767,116.7364275
116740039915040,,39.91627379,116.73642
116535039730040,,39.73139699,116.531647
116535039825040,,39.82638815,116.5316355
116540039735040,,39.73640817,116.536661
116540039740040,,39.74140759,116.5366604
116540039750040,,39.75140647,116.5366592
116540039755040,,39.75640593,116.5366585
116545039745040,,39.74641801,116.5416732
116545039750040,,39.75141746,116.5416726
116545039760040,,39.76141641,116.5416714
116545039810040,,39.811412,116.5416653
116550039760040,,39.76142653,116.5466837
116550039800040,,39.8014229,116.5466788
116550039825040,,39.82642106,116.5466758
116555039745040,,39.74643733,116.5516966
116560039735040,,39.7364467,116.5567075
116560039750040,,39.75144499,116.5567057
116560039785040,,39.78644157,116.5567015
116565039780040,,39.78144919,116.5617104
116565039800040,,39.80144749,116.561708
116565039805040,,39.8064471,116.5617074
116570039795040,,39.79645401,116.5667155
116570039800040,,39.8014536,116.5667149
116575039800040,,39.80145862,116.5717204
116575039805040,,39.80645823,116.5717198
116580039800040,,39.80146253,116.5767244
116580039805040,,39.80646213,116.5767238
116580039815040,,39.81646138,116.5767226
116585039820040,,39.82146381,116.5817245
116590039735040,,39.73647335,116.5867357
116595039770040,,39.77147013,116.591731
